system:index,NDSI,NDVI,NDWI,label,subregion,.geo
2_00000000000000000076_0,-0.15610698,0.16711631,-0.1785413,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000078_0,-0.16568865,0.123972215,-0.15502094,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000079_0,-0.24053377,0.14217184,-0.17891823,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007a_0,-0.20559825,0.21263474,-0.23444387,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000007b_0,-0.18073483,0.16254826,-0.18016577,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000080_0,-0.26775596,0.12364377,-0.17790271,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000083_0,-0.1225067,0.16331181,-0.1637392,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000085_0,-0.1424524,0.1897456,-0.18911864,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000008e_0,-0.11728621,0.04873034,-0.07826633,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000096_0,-0.22633348,0.18991753,-0.20296358,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009b_0,-0.19357306,0.22718687,-0.23869514,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009e_0,-0.18157482,0.12376427,-0.15973766,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000009f_0,-0.1970321,0.14799342,-0.17095456,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000a0_0,-0.15452349,0.18268517,-0.19224194,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000a3_0,-0.24819535,0.1519249,-0.18511604,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000a4_0,-0.22049089,0.12646432,-0.17282842,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000a5_0,-0.20899196,0.23183836,-0.24123129,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000a6_0,-0.06395916,0.13452443,-0.13495065,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000a9_0,-0.17014381,0.1234165,-0.14994122,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000ab_0,-0.20122068,0.13941665,-0.1699734,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000ad_0,-0.25157836,0.12603766,-0.16654111,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000b1_0,-0.12709142,0.18500096,-0.21006696,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000b8_0,-0.24382775,0.20422275,-0.23324366,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000ba_0,-0.20094362,0.15498066,-0.1807116,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000bd_0,-0.16160479,0.058522284,-0.10019374,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000c0_0,-0.15472735,0.117376536,-0.15407205,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000c5_0,-0.17377013,0.18608588,-0.20387264,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000c6_0,-0.18524972,0.13225082,-0.18220568,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000c8_0,-0.20582165,0.1600299,-0.18332267,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000ca_0,-0.18237619,0.14082086,-0.15305382,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000000cb_0,-0.20124035,0.14043413,-0.18232827,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
